id,folder,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
rebraw,General Health/Child Health Questionnaire (CHQ),Child Health Questionnaire Parent Form 50 Questions: Role/Social functioning due to emotional/behavioral problems subscore (raw),"The subscale score is based on 3 items from the Child Health Questionnaire Parent Form 50 Questions. A high score suggests less limitations in role/social functioninig due to emotional/behavioral problems. [Asmussen L et al., 2000 (PubMed ID: 11029320)](https://www.ncbi.nlm.nih.gov/pubmed/11029320/)<br><br>[Search for all CHQ-PF50 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=chqpf50)",numeric,,,chqpf50;chqpf50_rsfepscoreraw,,,
rpraw,General Health/Child Health Questionnaire (CHQ),Child Health Questionnaire Parent Form 50 Questions: Role/Social functioning due to physical problems subscore (raw),"The subscale score is based on 2 items from the Child Health Questionnaire Parent Form 50 Questions. A high score suggests less limitations in role/social functioninig due to physical problems. [Asmussen L et al., 2000 (PubMed ID: 11029320)](https://www.ncbi.nlm.nih.gov/pubmed/11029320/)<br><br>[Search for all CHQ-PF50 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=chqpf50)",numeric,,,chqpf50;chqpf50_rsfppscoreraw,,,
seraw,General Health/Child Health Questionnaire (CHQ),Child Health Questionnaire Parent Form 50 Questions: Self-esteem subscore (raw),"The subscale score is based on 6 items from the Child Health Questionnaire Parent Form 50 Questions. A high score suggests better self-esteem. [Asmussen L et al., 2000 (PubMed ID: 11029320)](https://www.ncbi.nlm.nih.gov/pubmed/11029320/)<br><br>[Search for all CHQ-PF50 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=chqpf50)",numeric,,,chqpf50;chqpf50_sescoreraw,,,
efp,General Health/Medical Outcomes Study Short Form (SF-36),Medical Outcomes Study SF-36: Vitality subscale score (0-100),"The subscale score is based on 4 items from the Medical Outcomes Study Short Form 36 (SF-36). A high score suggests the participant ""feels full of pep and energy all of the time in the past 4 week "". [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)",numeric,,,mossf36;mossf36_vtscore,,TRUE,sf36
mhp,General Health/Medical Outcomes Study Short Form (SF-36),Medical Outcomes Study SF-36: General mental health subscale score  (0-100),"The subscale score is based on 5 items from the Medical Outcomes Study Short Form 36 (SF-36). A high score suggests the participant ""feels peaceful, happy, and calm all of the time in the past 4 weeks "". [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)",numeric,,,mossf36;mossf36_mhscore,,TRUE,sf36
painp,General Health/Medical Outcomes Study Short Form (SF-36),Medical Outcomes Study SF-36: Body pain subscale score  (0-100),"The subscale score is based on 2 items from the Medical Outcomes Study Short Form 36 (SF-36). A high score suggests the participant has ""no pain or limitations due to pain in the past 4 weeks"". [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)",numeric,,,mossf36;mossf36_bpscore,,TRUE,sf36
php,General Health/Medical Outcomes Study Short Form (SF-36),Medical Outcomes Study SF-36: Physical functioning subscale score (0-100),"The subscale score is based on 10 items from the Medical Outcomes Study Short Form 36 (SF-36). A high score suggests the participant ""performs all types of physical activities including the most vigorous without limitations due to health"". [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)",numeric,,,mossf36;mossf36_pfscore,,TRUE,sf36
pp,General Health/Medical Outcomes Study Short Form (SF-36),Medical Outcomes Study SF-36: General health perceptions subscale score (0-100),"The subscale score is based on 5 items from the Medical Outcomes Study Short Form 36 (SF-36). A high score suggests the participant ""believes personal health is excellent"". [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)",numeric,,,mossf36;mossf36_ghscore,,TRUE,sf36
rfep,General Health/Medical Outcomes Study Short Form (SF-36),Medical Outcomes Study SF-36: Role limitations due to emotional problem subscale score (0-100),"The subscale score is based on 3 items from the Medical Outcomes Study Short Form 36 (SF-36). A high score suggests the participant has ""no problems with work or other daily activities as a result of emotional problems in the past 4 weeks "". [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)",numeric,,,mossf36;mossf36_rescore,,TRUE,sf36
rfpp,General Health/Medical Outcomes Study Short Form (SF-36),Medical Outcomes Study SF-36: Role limitations due to physical problem subscale score (0-100),"The subscale score is based on 4 items from the Medical Outcomes Study Short Form 36 (SF-36). A high score suggests the participant has ""no problems with work or other daily activities as a result of physical health in the past 4 weeks"". [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)",numeric,,,mossf36;mossf36_rpscore,,TRUE,sf36
chgp,General Health/Medical Outcomes Study Short Form (SF-36),Medical Outcomes Study SF-36: Health transition subscale score ,"The subscale score is based on 1 item from the Medical Outcomes Study Short Form 36 (SF-36). [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)",numeric,,,mossf36;mossf36_htscore,,,sf36
chgr,General Health/Medical Outcomes Study Short Form (SF-36),Medical Outcomes Study SF-36: Health transition subscale score (raw),"The subscale score is based on 1 item from the Medical Outcomes Study Short Form 36 (SF-36). [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)",choices,,sfht,mossf36;mossf36_htscoreraw,,,sf36
efr,General Health/Medical Outcomes Study Short Form (SF-36),Medical Outcomes Study SF-36: Vitality subscale score (raw),"The subscale score is based on 4 items from the Medical Outcomes Study Short Form 36 (SF-36). A high score suggests the participant ""feels full of pep and energy all of the time in the past 4 week "". [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)",numeric,,,mossf36;mossf36_vtscoreraw,,,sf36
mhr,General Health/Medical Outcomes Study Short Form (SF-36),Medical Outcomes Study SF-36: General mental health subscale score (raw),"The subscale score is based on 5 items from the Medical Outcomes Study Short Form 36 (SF-36). A high score suggests the participant ""feels peaceful, happy, and calm all of the time in the past 4 weeks "". [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)",numeric,,,mossf36;mossf36_mhscoreraw,,,sf36
mosq1,General Health/Medical Outcomes Study Short Form (SF-36),"Medical Outcomes Study SF-36: In general, your health is","Item from the Medical Outcomes Study Short Form 36 (SF-36). [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)<br><br>Original question: *In general, would you say your health is*",choices,,sf36_health,mossf36;mossf36_01currhealth,,,sf36
mosq10,General Health/Medical Outcomes Study Short Form (SF-36),Medical Outcomes Study SF-36: Frequency that physical health or emotional problems interefered with normal social activities,"Item from the Medical Outcomes Study Short Form 36 (SF-36). [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)<br><br>Original question: *During the past 4 weeks, how much of the time has your physical health or emotional problems interfered with your social activities ( like visiting friends, relatives, etc)?*",choices,,sf36_time5,mossf36;mossf36_32freqsocial,,,sf36
mosq11a,General Health/Medical Outcomes Study Short Form (SF-36),Medical Outcomes Study SF-36: Get sick a little easier than other people,"Item from the Medical Outcomes Study Short Form 36 (SF-36). [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)<br><br>Original question: *I seem to get sick a little easier than other people*",choices,,sf36_truefalse,mossf36;mossf36_33sickeasily,,,sf36
mosq11b,General Health/Medical Outcomes Study Short Form (SF-36),Medical Outcomes Study SF-36: As healthy as anybody I know,"Item from the Medical Outcomes Study Short Form 36 (SF-36). [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)<br><br>Original question: *I am as healthy as anybody I know*",choices,,sf36_truefalse,mossf36;mossf36_34ashealthy,,,sf36
mosq11c,General Health/Medical Outcomes Study Short Form (SF-36),Medical Outcomes Study SF-36: Expect my health to get worse,"Item from the Medical Outcomes Study Short Form 36 (SF-36). [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)<br><br>Original question: *I expect my health to get worse*",choices,,sf36_truefalse,mossf36;mossf36_35worse,,,sf36
mosq11d,General Health/Medical Outcomes Study Short Form (SF-36),Medical Outcomes Study SF-36: My health is excellent,"Item from the Medical Outcomes Study Short Form 36 (SF-36). [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)<br><br>Original question: *My health is excellent*",choices,,sf36_truefalse,mossf36;mossf36_36excellent,,,sf36
mosq2,General Health/Medical Outcomes Study Short Form (SF-36),"Medical Outcomes Study SF-36: Compared to one year ago, your health is","Item from the Medical Outcomes Study Short Form 36 (SF-36). [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)<br><br>Original question: *Compared to one year ago, how would you rate your health in general now?*",choices,,sf36_yearago,mossf36;mossf36_02comphealth,,,sf36
mosq3a,General Health/Medical Outcomes Study Short Form (SF-36),Medical Outcomes Study SF-36: Health limits vigorous activity,"Item from the Medical Outcomes Study Short Form 36 (SF-36). [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)<br><br>Original question: *Vigorous activities, such as running, lifting heavy objects, participating in strenuous sports*",choices,,sf36_limited,mossf36;mossf36_03vigorous,,,sf36
mosq3b,General Health/Medical Outcomes Study Short Form (SF-36),Medical Outcomes Study SF-36: Health limits moderate activity,"Item from the Medical Outcomes Study Short Form 36 (SF-36). [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)<br><br>Original question: *Moderate activities, such as moving a table, pushing a vacuum cleaner, bowling, or playing golf*",choices,,sf36_limited,mossf36;mossf36_04moderate,,,sf36
mosq3c,General Health/Medical Outcomes Study Short Form (SF-36),Medical Outcomes Study SF-36: Health limits lifting or carrying groceries,"Item from the Medical Outcomes Study Short Form 36 (SF-36). [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)<br><br>Original question: *Lifting or carrying groceries*",choices,,sf36_limited,mossf36;mossf36_05groceries,,,sf36
mosq3d,General Health/Medical Outcomes Study Short Form (SF-36),Medical Outcomes Study SF-36: Health limits climbing several flights of stairs,"Item from the Medical Outcomes Study Short Form 36 (SF-36). [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)<br><br>Original question: *Climbing several flights of stairs*",choices,,sf36_limited,mossf36;mossf36_06multistairs,,,sf36
mosq3e,General Health/Medical Outcomes Study Short Form (SF-36),Medical Outcomes Study SF-36: Health limits climbing one flight of stairs,"Item from the Medical Outcomes Study Short Form 36 (SF-36). [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)<br><br>Original question: *Climbing one flight of stairs*",choices,,sf36_limited,mossf36;mossf36_07onestair,,,sf36
mosq3f,General Health/Medical Outcomes Study Short Form (SF-36),"Medical Outcomes Study SF-36: Health limits bending, kneeling, or stooping","Item from the Medical Outcomes Study Short Form 36 (SF-36). [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)<br><br>Original question: *Bending, kneeling, or stooping*",choices,,sf36_limited,mossf36;mossf36_08bend,,,sf36
mosq3g,General Health/Medical Outcomes Study Short Form (SF-36),Medical Outcomes Study SF-36: Health limits walking more than a mile,"Item from the Medical Outcomes Study Short Form 36 (SF-36). [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)<br><br>Original question: *Walking more than one kilometer*",choices,,sf36_limited,mossf36;mossf36_09walkmile,,,sf36
mosq3h,General Health/Medical Outcomes Study Short Form (SF-36),Medical Outcomes Study SF-36: Health limits walking several blocks (or half a kilometer),"Item from the Medical Outcomes Study Short Form 36 (SF-36). [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)<br><br>Original question: *Walking half a kilometer*",choices,,sf36_limited,mossf36;mossf36_10multiblocks,,,sf36
mosq3i,General Health/Medical Outcomes Study Short Form (SF-36),Medical Outcomes Study SF-36: Health limits walking one block (or one hundred meters),"Item from the Medical Outcomes Study Short Form 36 (SF-36). [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)<br><br>Original question: *Walking one hundred meters*",choices,,sf36_limited,mossf36;mossf36_11oneblock,,,sf36
mosq3j,General Health/Medical Outcomes Study Short Form (SF-36),Medical Outcomes Study SF-36: Health limits bathing or dressing yourself,"Item from the Medical Outcomes Study Short Form 36 (SF-36). [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)<br><br>Original question: *Bathing or dressing yourself*",choices,,sf36_limited,mossf36;mossf36_12bathordress,,,sf36
mosq4a,General Health/Medical Outcomes Study Short Form (SF-36),Medical Outcomes Study SF-36: Physical health caused you to cut down on the amount of time you spent on work or other activities,"Item from the Medical Outcomes Study Short Form 36 (SF-36). [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)<br><br>Original question: *Cut down on the amount of time you spent on work or other activities*",choices,,sf36_yesno,mossf36;mossf36_13phycut,,,sf36
mosq4b,General Health/Medical Outcomes Study Short Form (SF-36),Medical Outcomes Study SF-36: Physical health caused you to accomplish less than you would like,"Item from the Medical Outcomes Study Short Form 36 (SF-36). [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)<br><br>Original question: *Accomplished less than you would like*",choices,,sf36_yesno,mossf36;mossf36_14phyless,,,sf36
mosq4c,General Health/Medical Outcomes Study Short Form (SF-36),Medical Outcomes Study SF-36: Physical health caused you to be limited in the kind of work or other activities,"Item from the Medical Outcomes Study Short Form 36 (SF-36). [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)<br><br>Original question: *Were limited in the kind of work or other activities*",choices,,sf36_yesno,mossf36;mossf36_15phylimit,,,sf36
mosq4d,General Health/Medical Outcomes Study Short Form (SF-36),Medical Outcomes Study SF-36: Physical health caused you to have difficulty performing work or other activities,"Item from the Medical Outcomes Study Short Form 36 (SF-36). [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)<br><br>Original question: *Had difficulty performing the work or other activities (for example, it took extra effort)*",choices,,sf36_yesno,mossf36;mossf36_16phydiff,,,sf36
mosq5a,General Health/Medical Outcomes Study Short Form (SF-36),Medical Outcomes Study SF-36: Emotional problems caused you to cut down the amount of time you spend on work or other activities,"Item from the Medical Outcomes Study Short Form 36 (SF-36). [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)<br><br>Original question: *Cut down on the amount of time you spent on work or other activities*",choices,,sf36_yesno,mossf36;mossf36_17emocut,,,sf36
mosq5b,General Health/Medical Outcomes Study Short Form (SF-36),Medical Outcomes Study SF-36: Emotional problems caused you to accomplish less than you would like,"Item from the Medical Outcomes Study Short Form 36 (SF-36). [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)<br><br>Original question: *Accomplished less than you would like*",choices,,sf36_yesno,mossf36;mossf36_18emoless,,,sf36
mosq5c,General Health/Medical Outcomes Study Short Form (SF-36),Medical Outcomes Study SF-36: Emotional problems caused you to not do work or other activities as carefully as usual,"Item from the Medical Outcomes Study Short Form 36 (SF-36). [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)<br><br>Original question: *Didn't do work or other activites as carefully as usual*",choices,,sf36_yesno,mossf36;mossf36_19emocareful,,,sf36
mosq6,General Health/Medical Outcomes Study Short Form (SF-36),Medical Outcomes Study SF-36: Physical and emotional problems interefere with normal social activities,"Item from the Medical Outcomes Study Short Form 36 (SF-36). [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)<br><br>Original question: *During the past 4 weeks, to what extent has your physical health or emotional problems interfered with your normal social activities with family, friends, neighbors, or groups?*",choices,,sf36_interfered,mossf36;mossf36_20social,,,sf36
mosq7,General Health/Medical Outcomes Study Short Form (SF-36),Medical Outcomes Study SF-36: Bodily pain,"Item from the Medical Outcomes Study Short Form 36 (SF-36). [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)<br><br>Original question: *How much bodily pain have you had during the past 4 weeks?*",choices,,sf36_bodilypain,mossf36;mossf36_21painlevel,,,sf36
mosq8,General Health/Medical Outcomes Study Short Form (SF-36),Medical Outcomes Study SF-36: Extent that bodily pain interefered with work,"Item from the Medical Outcomes Study Short Form 36 (SF-36). [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)<br><br>Original question: *During the past 4 weeks, how much did pain interfere with your normal work (including both work outside the home and housework)?*",choices,,sf36_interfered,mossf36;mossf36_22painwork,,,sf36
mosq9a,General Health/Medical Outcomes Study Short Form (SF-36),Medical Outcomes Study SF-36: Feel full of life,"Item from the Medical Outcomes Study Short Form 36 (SF-36). [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)<br><br>Original question: *Did you feel full of life?*",choices,,sf36,mossf36;mossf36_23fulloflife,,,sf36
mosq9b,General Health/Medical Outcomes Study Short Form (SF-36),Medical Outcomes Study SF-36: Been very nervous,"Item from the Medical Outcomes Study Short Form 36 (SF-36). [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)<br><br>Original question: *Have you been a very nervous person?*",choices,,sf36,mossf36;mossf36_24nervous,,,sf36
mosq9c,General Health/Medical Outcomes Study Short Form (SF-36),Medical Outcomes Study SF-36: Have felt so down in the dumps that nothing could cheer you up,"Item from the Medical Outcomes Study Short Form 36 (SF-36). [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)<br><br>Original question: *Have you felt so down in the dumps that nothing could cheer you up?*",choices,,sf36,mossf36;mossf36_25feeldown,,,sf36
mosq9d,General Health/Medical Outcomes Study Short Form (SF-36),Medical Outcomes Study SF-36: Felt calm and peaceful,"Item from the Medical Outcomes Study Short Form 36 (SF-36). [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)<br><br>Original question: *Have you felt calm and peaceful?*",choices,,sf36,mossf36;mossf36_26calm,,,sf36
mosq9e,General Health/Medical Outcomes Study Short Form (SF-36),Medical Outcomes Study SF-36: Have a lot of energy,"Item from the Medical Outcomes Study Short Form 36 (SF-36). [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)<br><br>Original question: *Did you have a lot of energy?*",choices,,sf36,mossf36;mossf36_27energy,,,sf36
mosq9f,General Health/Medical Outcomes Study Short Form (SF-36),Medical Outcomes Study SF-36: Felt downhearted and depressed,"Item from the Medical Outcomes Study Short Form 36 (SF-36). [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)<br><br>Original question: *Have you felt down?*",choices,,sf36,mossf36;mossf36_28depressed,,,sf36
mosq9g,General Health/Medical Outcomes Study Short Form (SF-36),Medical Outcomes Study SF-36: Feel worn out,"Item from the Medical Outcomes Study Short Form 36 (SF-36). [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)<br><br>Original question: *Have you felt worn out?*",choices,,sf36,mossf36;mossf36_29wornout,,,sf36
mosq9h,General Health/Medical Outcomes Study Short Form (SF-36),Medical Outcomes Study SF-36: Been happy,"Item from the Medical Outcomes Study Short Form 36 (SF-36). [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)<br><br>Original question: *Have you been a happy person?*",choices,,sf36,mossf36;mossf36_30happy,,,sf36
mosq9i,General Health/Medical Outcomes Study Short Form (SF-36),Medical Outcomes Study SF-36: Feel tired,"Item from the Medical Outcomes Study Short Form 36 (SF-36). [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)<br><br>Original question: *Have you felt tired?*",choices,,sf36,mossf36;mossf36_31tired,,,sf36
painr,General Health/Medical Outcomes Study Short Form (SF-36),Medical Outcomes Study SF-36: Body pain subscale score (raw),"The subscale score is based on 2 items from the Medical Outcomes Study Short Form 36 (SF-36). A high score suggests the participant has ""no pain or limitations due to pain in the past 4 weeks"". [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)",numeric,,,mossf36;mossf36_bpscoreraw,,,sf36
phr,General Health/Medical Outcomes Study Short Form (SF-36),Medical Outcomes Study SF-36: Physical functioning subscale score (raw),"The subscale score is based on 10 items from the Medical Outcomes Study Short Form 36 (SF-36). A high score suggests the participant ""performs all types of physical activities including the most vigorous without limitations due to health"". [Ware JE and Sherbourne CD, 1992 (PubMed ID: 1593914)](https://www.ncbi.nlm.nih.gov/pubmed/1593914/)<br><br>[Search for all SF-36 variables within this dataset](https://sleepdata.org/datasets/cfs/variables?search=mossf36)",numeric,,,mossf36;mossf36_pfscoreraw,,,sf36
